Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
BCAL/CVBF,Banks - Regional,0.8646,0.15115,624
MPB/PGC,Banks - Regional,0.9543,0.15119,624
CWBC/PEBK,Banks - Regional,0.9699,0.15119,624
FFBC/UNTY,Banks - Regional,0.9133,0.15182,624
BOTJ/BUSE,Banks - Regional,0.9446,0.15185,624
BCAL/WSFS,Banks - Regional,0.8961,0.1522,624
CTBI/SFBC,Banks - Regional,0.9656,0.1525,624
ATLO/NFBK,Banks - Regional,0.911,0.15251,624
ATLO/HBNC,Banks - Regional,0.8971,0.15259,624
BOTJ/MGYR,Banks - Regional,0.9364,0.15295,624
BCAL/UNTY,Banks - Regional,0.8701,0.15296,624
FCCO/OCFC,Banks - Regional,0.8978,0.15315,624
DCOM/PBHC,Banks - Regional,0.894,0.15324,624
HWC/MPB,Banks - Regional,0.8875,0.15357,624
ATLO/CWBC,Banks - Regional,0.8963,0.1536,624
ASRV/FNWD,Banks - Regional,0.9206,0.1536,624
BOTJ/FRME,Banks - Regional,0.9574,0.15373,624
HBCP/LSBK,Banks - Regional,0.9008,0.15381,624
BRKL/FNWD,Banks - Regional,0.9399,0.15385,624
ASRV/CIVB,Banks - Regional,0.8719,0.15385,624
EBTC/PBHC,Banks - Regional,0.9427,0.1549,624
HWC/SMBK,Banks - Regional,0.904,0.15505,624
CBFV/FNLC,Banks - Regional,0.8968,0.1551,624
FULT/IBCP,Banks - Regional,0.9667,0.1551,624
BRKL/CIVB,Banks - Regional,0.952,0.15513,624
BUSE/DCOM,Banks - Regional,0.904,0.15525,624
ASB/EBTC,Banks - Regional,0.9385,0.15525,624
CAC/FCCO,Banks - Regional,0.9535,0.15528,624
FFBC/WASH,Banks - Regional,0.832,0.15557,624
EWBC/LSBK,Banks - Regional,0.8314,0.15557,624
NBTB/THFF,Banks - Regional,0.968,0.15559,624
FULT/SFBC,Banks - Regional,0.9491,0.15568,624
LSBK/PPBI,Banks - Regional,0.9128,0.15571,624
BOKF/FCCO,Banks - Regional,0.9336,0.15572,624
BCAL/FBNC,Banks - Regional,0.9352,0.1559,624
ATLO/WBS,Banks - Regional,0.8736,0.15596,624
CBFV/LSBK,Banks - Regional,0.8849,0.15614,624
INDB/SFBC,Banks - Regional,0.894,0.15617,624
EBTC/EFSC,Banks - Regional,0.9684,0.15621,624
CTBI/HBCP,Banks - Regional,0.9723,0.15622,624
LSBK/SFNC,Banks - Regional,0.9202,0.15628,624
CCNE/OVLY,Banks - Regional,0.8271,0.15633,624
CBFV/CCNE,Banks - Regional,0.9167,0.15641,624
OCFC/PBHC,Banks - Regional,0.8553,0.15644,624
LSBK/UNB,Banks - Regional,0.8793,0.15655,624
HTBK/PBHC,Banks - Regional,0.9178,0.15657,624
DCOM/FCCO,Banks - Regional,0.8821,0.15685,624
DCOM/MPB,Banks - Regional,0.9025,0.15693,624
SMBK/WNEB,Banks - Regional,0.8586,0.15709,624
BCAL/SMBC,Banks - Regional,0.9,0.15717,624
FCF/MGYR,Banks - Regional,0.956,0.15731,624
ATLO/KRNY,Banks - Regional,0.882,0.15743,624
CZNC/MNSB,Banks - Regional,0.9422,0.15746,624
EBTC/OPOF,Banks - Regional,0.8954,0.15769,624
CADE/HBAN,Banks - Regional,0.962,0.15827,624
FRME/SBFG,Banks - Regional,0.9703,0.1583,624
EBTC/HBNC,Banks - Regional,0.9516,0.15838,624
EBMT/PPBI,Banks - Regional,0.9385,0.15843,624
HBCP/SFBC,Banks - Regional,0.9682,0.15849,624
FMNB/USB,Banks - Regional,0.9422,0.15862,624
CADE/PGC,Banks - Regional,0.8868,0.15871,624
BCAL/PFS,Banks - Regional,0.8499,0.15894,624
CIVB/CZWI,Banks - Regional,0.9411,0.15896,624
CZWI/LSBK,Banks - Regional,0.9362,0.15912,624
DCOM/FFIC,Banks - Regional,0.9012,0.1594,624
BSRR/FNWD,Banks - Regional,0.8642,0.15955,624
INDB/SBCF,Banks - Regional,0.9748,0.15969,624
MPB/WTFC,Banks - Regional,0.9104,0.15986,624
BOTJ/FNLC,Banks - Regional,0.9238,0.15995,624
ATLO/BUSE,Banks - Regional,0.9075,0.15996,624
FBNC/IBCP,Banks - Regional,0.9251,0.16004,624
FHN/PBHC,Banks - Regional,0.907,0.16012,624
FISI/SFBC,Banks - Regional,0.8591,0.16012,624
CWBC/FCCO,Banks - Regional,0.9587,0.16013,624
FCF/WASH,Banks - Regional,0.8227,0.16016,624
LSBK/USB,Banks - Regional,0.9387,0.16028,624
ASRV/INDB,Banks - Regional,0.8819,0.16031,624
ASRV/PGC,Banks - Regional,0.8861,0.16053,624
CAC/FISI,Banks - Regional,0.9177,0.16058,624
BCAL/TCBK,Banks - Regional,0.9169,0.16071,624
FNLC/PFBC,Banks - Regional,0.9606,0.16077,624
CWBC/UVSP,Banks - Regional,0.9387,0.16082,624
ASRV/WASH,Banks - Regional,0.9378,0.16106,624
CWBC/MGYR,Banks - Regional,0.9311,0.16112,624
FHN/MGYR,Banks - Regional,0.8914,0.16117,624
FFIC/LSBK,Banks - Regional,0.8511,0.16129,624
BCAL/WNEB,Banks - Regional,0.8218,0.16133,624
BANR/FCCO,Banks - Regional,0.951,0.16147,624
CBFV/HTBK,Banks - Regional,0.8792,0.16161,624
FNLC/HTBK,Banks - Regional,0.8935,0.16162,624
CBFV/FUNC,Banks - Regional,0.9293,0.16172,624
DCOM/FNWD,Banks - Regional,0.8791,0.16189,624
ASRV/CZNC,Banks - Regional,0.8867,0.16194,624
BOTJ/USB,Banks - Regional,0.9504,0.16199,624
EBTC/WTBA,Banks - Regional,0.9541,0.16214,624
