Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run,,LBTYA/LBTYB,Telecom Services,0.9916,0.00086,624,,Telecom Services
BUSE/SMBC,Banks - Regional,0.9119,0.09547,624,,,,,,,,
IGI/NXC,Asset Management,0.9649,0.0957,624,,,,,,,,
BLE/NMI,Asset Management,0.9573,0.0958,624,,,,,,,,
MVT/MYN,Asset Management,0.9745,0.09621,624,,,,,,,,
ATLO/BOTJ,Banks - Regional,0.8809,0.09632,624,,,,,,,,
CCNE/LSBK,Banks - Regional,0.919,0.09635,624,,,,,,,,
BKN/NXC,Asset Management,0.9552,0.09639,624,,,,,,,,
COLB/LSBK,Banks - Regional,0.9054,0.09651,624,,,,,,,,
AFB/MVF,Asset Management,0.977,0.09673,624,,,,,,,,
MMU/MVT,Asset Management,0.9761,0.09682,624,,,,,,,,
BOTJ/BRKL,Banks - Regional,0.9226,0.09694,624,,,,,,,,
CATY/FCCO,Banks - Regional,0.9573,0.09712,624,,,,,,,,
MHD/NXN,Asset Management,0.9463,0.09713,624,,,,,,,,
MYD/PMM,Asset Management,0.9591,0.09728,624,,,,,,,,
BFK/NAD,Asset Management,0.9652,0.09742,624,,,,,,,,
ATLO/LSBK,Banks - Regional,0.8857,0.09757,624,,,,,,,,
CAC/CZWI,Banks - Regional,0.9376,0.09777,624,,,,,,,,
FNLC/SMBC,Banks - Regional,0.9683,0.09778,624,,,,,,,,
KTN/PFF,Unknown,0.9849,0.09778,624,,,,,,,,
NNY/NUV,Asset Management,0.9794,0.09784,624,,,,,,,,
ATLO/FRST,Banks - Regional,0.9497,0.09784,624,,,,,,,,
CAC/SBFG,Banks - Regional,0.9655,0.09807,624,,,,,,,,
NNY/PMM,Asset Management,0.973,0.09846,624,,,,,,,,
MVT/MYD,Asset Management,0.9826,0.09849,624,,,,,,,,
ASB/LSBK,Banks - Regional,0.8895,0.09849,624,,,,,,,,
MYD/NNY,Asset Management,0.9723,0.09852,624,,,,,,,,
BOTJ/WBS,Banks - Regional,0.9488,0.09885,624,,,,,,,,
GDO/JMM,Asset Management,0.9823,0.09902,624,,,,,,,,
MYD/VCV,Asset Management,0.9812,0.0993,624,,,,,,,,
MHD/MUA,Asset Management,0.9766,0.09946,624,,,,,,,,
BLE/NXC,Asset Management,0.9465,0.09989,624,,,,,,,,
FFBC/SFBC,Banks - Regional,0.9336,0.10002,624,,,,,,,,
BANR/PBHC,Banks - Regional,0.9508,0.10038,624,,,,,,,,
DSM/MHD,Asset Management,0.9897,0.1004,624,,,,,,,,
BANFP/IPB,Unknown,0.9656,0.10068,624,,,,,,,,
NRK/NXN,Asset Management,0.9756,0.1007,624,,,,,,,,
ONB/SBFG,Banks - Regional,0.9497,0.10088,624,,,,,,,,
NEA/VBF,Asset Management,0.979,0.10105,624,,,,,,,,
JMM/MMT,Asset Management,0.9735,0.10115,624,,,,,,,,
BCAL/EFSC,Banks - Regional,0.9198,0.10133,624,,,,,,,,
PNI/PYN,Asset Management,0.98,0.10184,624,,,,,,,,
